job,model,aden_centroid,aden_nearest,cys632
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-6_sample-3__model.cif,7.76,4.18,32.65
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-6_sample-4__model.cif,7.75,4.16,32.54
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-7_sample-0__model.cif,7.6,4.24,31.08
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-7_sample-1__model.cif,7.56,4.26,31.11
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-7_sample-2__model.cif,7.65,4.18,32.46
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-7_sample-3__model.cif,7.78,4.23,32.82
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-7_sample-4__model.cif,7.62,4.26,32.86
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-8_sample-0__model.cif,7.58,4.22,32.89
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-8_sample-1__model.cif,7.72,4.22,32.67
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-8_sample-2__model.cif,7.67,4.14,31.15
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-8_sample-3__model.cif,7.61,4.13,30.87
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-8_sample-4__model.cif,7.54,4.12,31.25
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-9_sample-0__model.cif,7.61,4.18,32.83
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-9_sample-1__model.cif,7.58,4.25,31.22
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-9_sample-2__model.cif,7.71,4.32,32.57
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-9_sample-3__model.cif,7.81,4.34,30.81
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-9_sample-4__model.cif,7.69,4.3,31.25
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-10_sample-0__model.cif,7.64,4.14,32.14
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-10_sample-1__model.cif,7.57,4.18,31.75
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-10_sample-2__model.cif,7.51,4.19,31.59
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-10_sample-3__model.cif,7.59,4.16,31.52
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-10_sample-4__model.cif,7.6,4.08,31.2
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-11_sample-0__model.cif,7.76,4.22,30.63
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-11_sample-1__model.cif,7.64,4.1,32.3
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-11_sample-2__model.cif,7.69,4.18,30.49
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-11_sample-3__model.cif,7.64,4.15,31.95
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-11_sample-4__model.cif,7.53,4.15,30.83
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-12_sample-0__model.cif,7.55,4.18,32.14
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-12_sample-1__model.cif,7.6,4.12,31.82
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-12_sample-2__model.cif,7.66,4.28,32.09
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-12_sample-3__model.cif,7.6,4.13,31.94
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-12_sample-4__model.cif,7.61,4.16,26.18
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-13_sample-0__model.cif,7.61,4.07,30.67
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-13_sample-1__model.cif,7.68,4.13,29.5
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-13_sample-2__model.cif,7.68,4.24,30.73
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-13_sample-3__model.cif,7.73,4.24,32.03
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-13_sample-4__model.cif,7.7,4.17,32.22
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-14_sample-0__model.cif,7.69,4.25,32.14
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-14_sample-1__model.cif,7.9,4.2,32.2
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-14_sample-2__model.cif,7.64,4.22,32.43
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-14_sample-3__model.cif,7.52,4.21,32.45
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-14_sample-4__model.cif,7.57,4.09,32.25
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-15_sample-0__model.cif,7.71,4.11,32.68
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-15_sample-1__model.cif,7.6,4.12,30.96
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-15_sample-2__model.cif,7.54,4.16,31.92
