species,n,thio_c_s,planarity,n01_thio_c,n01_catcys,iface
charged,100,1.708,338.615,3.121,4.48,10.78
lyscontrol,100,,,,,12.03
product,100,,,,3.612,8.73
tetrahedral,100,1.796,328.883,1.468,2.625,8.98
xisok,100,,,,4.522,9.19
