job,model,nz_c01,nz_res,thio_cs,planarity,n01_thioC,has_oxt,iptm,ptm,rank,ub_last_res,n01_ubC
sumo2_k11lisok_ube2w_ub_product,seed-2_sample-4,0.8551239676210699,12,,,,,0.57,0.71,0.62,76.0,1.0137746297871144
sumo2_k11lisok_ube2w_ub_product,seed-3_sample-0,0.9957379173256384,12,,,,,0.64,0.75,0.69,76.0,1.553768644296828
sumo2_k11lisok_ube2w_ub_product,seed-3_sample-1,0.8221587437958683,12,,,,,0.62,0.74,0.67,76.0,1.6827715234101157
sumo2_k11lisok_ube2w_ub_product,seed-3_sample-2,0.891774635207798,12,,,,,0.62,0.74,0.67,76.0,1.7215373943077743
sumo2_k11lisok_ube2w_ub_product,seed-3_sample-3,0.9305831505029516,12,,,,,0.65,0.75,0.7,76.0,1.639861884428076
sumo2_k11lisok_ube2w_ub_product,seed-3_sample-4,0.9989544534161708,12,,,,,0.64,0.75,0.69,76.0,1.6601114420423704
sumo2_k11lisok_ube2w_ub_product,seed-4_sample-0,0.960702867696355,12,,,,,0.58,0.7,0.63,76.0,1.0856555623216784
sumo2_k11lisok_ube2w_ub_product,seed-4_sample-1,0.9910126134414228,12,,,,,0.59,0.71,0.65,76.0,1.1322747016515025
sumo2_k11lisok_ube2w_ub_product,seed-4_sample-2,1.031762084978897,12,,,,,0.58,0.7,0.63,76.0,1.3857449260235446
sumo2_k11lisok_ube2w_ub_product,seed-4_sample-3,0.9852887901524106,12,,,,,0.58,0.71,0.64,76.0,1.0311959076722526
sumo2_k11lisok_ube2w_ub_product,seed-4_sample-4,0.9267291945331176,12,,,,,0.58,0.7,0.63,76.0,1.5090642796117064
sumo2_k11lisok_ube2w_ub_product,seed-5_sample-0,0.8793014272705355,12,,,,,0.57,0.71,0.62,76.0,0.9806064450124732
sumo2_k11lisok_ube2w_ub_product,seed-5_sample-1,0.918000544662148,12,,,,,0.56,0.7,0.61,76.0,0.92595950235418
sumo2_k11lisok_ube2w_ub_product,seed-5_sample-2,0.9139682707840572,12,,,,,0.58,0.71,0.64,76.0,0.699778536395623
sumo2_k11lisok_ube2w_ub_product,seed-5_sample-3,0.8594213169336681,12,,,,,0.57,0.71,0.63,76.0,1.2618224914781002
sumo2_k11lisok_ube2w_ub_product,seed-5_sample-4,0.9346036593123314,12,,,,,0.55,0.69,0.6,76.0,1.019074089553846
sumo2_k21lisok_ube2w_ub_charged,seed-1_sample-0,1.0891138599797552,22,1.7716337093202985,328.42995346791906,22.59231274128437,True,0.54,0.66,0.58,,
sumo2_k21lisok_ube2w_ub_charged,seed-1_sample-1,0.9879569828691942,22,1.7097593397902522,329.3098939253674,20.043265652083743,True,0.53,0.66,0.58,,
sumo2_k21lisok_ube2w_ub_charged,seed-1_sample-2,1.1004380945786998,22,1.770939581126358,329.11977138877523,21.4745202973198,True,0.54,0.66,0.58,,
sumo2_k21lisok_ube2w_ub_charged,seed-1_sample-3,1.1266112905523358,22,1.7584848591898656,332.3210161555373,38.12128720282147,True,0.55,0.67,0.57,,
sumo2_k21lisok_ube2w_ub_charged,seed-1_sample-4,0.8954027026986237,22,1.696848254853686,332.88070945168624,32.35025823699094,True,0.55,0.66,0.61,,
sumo2_k21lisok_ube2w_ub_charged,seed-2_sample-0,1.147676348105163,22,1.7148533464993438,333.30130567874585,36.56539376240874,True,0.55,0.67,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-2_sample-1,0.97745281216026,22,1.7040692474192478,330.703769098385,33.383916322085405,True,0.54,0.66,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-2_sample-2,1.0203670908060494,22,1.7392601875510174,328.9580535969351,24.683742767254724,True,0.55,0.67,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-2_sample-3,1.0811059152552986,22,1.7353622100299404,331.0531563366454,32.16611266535016,True,0.55,0.67,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-2_sample-4,1.1177750220862883,22,1.7414620294453738,331.10436926323655,26.981580550442185,True,0.57,0.68,0.62,,
sumo2_k21lisok_ube2w_ub_charged,seed-3_sample-0,1.0016556294455694,22,1.706455097563367,332.8110762369502,38.41180686976336,True,0.55,0.66,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-3_sample-1,1.079158005113245,22,1.767772892653352,330.443356174571,30.966498623512475,True,0.53,0.65,0.56,,
sumo2_k21lisok_ube2w_ub_charged,seed-3_sample-2,1.15847658586611,22,1.7548222132170546,329.883003149989,28.82410217162019,True,0.56,0.67,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-3_sample-3,1.09307181831753,22,1.7359245375303614,334.69928093064675,38.96153080924824,True,0.56,0.67,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-3_sample-4,1.1416146460167722,22,1.7439604353310307,333.45504879987425,41.33844250815456,True,0.54,0.66,0.58,,
sumo2_k21lisok_ube2w_ub_charged,seed-4_sample-0,0.9328692298494994,22,1.68210047262344,332.0048007613803,31.8741122072443,True,0.4,0.59,0.47,,
sumo2_k21lisok_ube2w_ub_charged,seed-4_sample-1,0.9498010317956068,22,1.7003664310965445,332.43796236187745,33.12144279768018,True,0.43,0.61,0.49,,
sumo2_k21lisok_ube2w_ub_charged,seed-4_sample-2,1.122125215829317,22,1.7605297498196386,333.1867283657906,33.31827375480309,True,0.42,0.61,0.49,,
sumo2_k21lisok_ube2w_ub_charged,seed-4_sample-3,1.083297743005127,22,1.679335880638534,339.38304870572824,5.835238298475907,True,0.29,0.54,0.37,,
sumo2_k21lisok_ube2w_ub_charged,seed-4_sample-4,1.0518407674168162,22,1.6386387643406948,331.8793117019127,34.46862580666656,True,0.44,0.61,0.5,,
sumo2_k21lisok_ube2w_ub_charged,seed-5_sample-0,1.1011525779836318,22,1.732522438527132,333.50185472440415,31.784951297744666,True,0.55,0.67,0.59,,
sumo2_k21lisok_ube2w_ub_charged,seed-5_sample-1,1.096713727460361,22,1.7427065157392394,331.23495907514416,29.267588660496106,True,0.54,0.67,0.6,,
sumo2_k21lisok_ube2w_ub_charged,seed-5_sample-2,1.1078849218217566,22,1.7388105129656886,329.9899477531364,16.65843765183278,True,0.52,0.65,0.56,,
sumo2_k21lisok_ube2w_ub_charged,seed-5_sample-3,1.0836373932270869,22,1.7631636339262444,331.3273267060012,32.67098171160457,True,0.54,0.66,0.58,,
sumo2_k21lisok_ube2w_ub_charged,seed-5_sample-4,1.0602891115162882,22,1.6992969134321407,332.0546295215549,30.201406076538888,True,0.52,0.65,0.57,,
sumo2_k21lisok_ube2w_ub_product,seed-1_sample-0,1.1599482747088337,22,,,,,0.49,0.65,0.53,76.0,1.2354942330905472
sumo2_k21lisok_ube2w_ub_product,seed-1_sample-1,1.0254018724383138,22,,,,,0.44,0.62,0.51,76.0,1.7133274643219842
sumo2_k21lisok_ube2w_ub_product,seed-1_sample-2,1.1609625316951455,22,,,,,0.41,0.6,0.46,76.0,1.785480047494231
sumo2_k21lisok_ube2w_ub_product,seed-1_sample-3,1.0381488332604336,22,,,,,0.45,0.63,0.52,76.0,1.111260995446164
sumo2_k21lisok_ube2w_ub_product,seed-1_sample-4,1.0061704626950638,22,,,,,0.49,0.65,0.54,76.0,0.8915699636035301
sumo2_k21lisok_ube2w_ub_product,seed-2_sample-0,1.0669118988932498,22,,,,,0.41,0.6,0.47,76.0,1.7882804589884664
sumo2_k21lisok_ube2w_ub_product,seed-2_sample-1,0.9133372870960652,22,,,,,0.44,0.61,0.49,76.0,1.2596308983190283
sumo2_k21lisok_ube2w_ub_product,seed-2_sample-2,1.0149152673992052,22,,,,,0.41,0.59,0.47,76.0,1.9246872473209773
sumo2_k21lisok_ube2w_ub_product,seed-2_sample-3,1.0048646675050326,22,,,,,0.43,0.61,0.5,76.0,1.745433756978477
sumo2_k21lisok_ube2w_ub_product,seed-2_sample-4,1.0119071103614208,22,,,,,0.46,0.63,0.51,76.0,1.515039933467102
sumo2_k21lisok_ube2w_ub_product,seed-3_sample-0,1.0967980671026,22,,,,,0.46,0.63,0.53,76.0,1.86045290184944
sumo2_k21lisok_ube2w_ub_product,seed-3_sample-1,1.0869305405590557,22,,,,,0.46,0.63,0.5,76.0,1.3752185280892628
sumo2_k21lisok_ube2w_ub_product,seed-3_sample-2,1.004560600461714,22,,,,,0.45,0.63,0.52,76.0,1.69556509754123
sumo2_k21lisok_ube2w_ub_product,seed-3_sample-3,1.0460425421559107,22,,,,,0.45,0.63,0.52,76.0,1.116989256886565
sumo2_k21lisok_ube2w_ub_product,seed-3_sample-4,1.1365671999490392,22,,,,,0.49,0.66,0.53,76.0,1.7653282980794247
sumo2_k21lisok_ube2w_ub_product,seed-4_sample-0,1.0363073868307608,22,,,,,0.45,0.63,0.51,76.0,1.7924993723848277
sumo2_k21lisok_ube2w_ub_product,seed-4_sample-1,1.0058672874688783,22,,,,,0.47,0.64,0.54,76.0,1.4165906254101783
sumo2_k21lisok_ube2w_ub_product,seed-4_sample-2,1.1044831370374106,22,,,,,0.41,0.6,0.45,76.0,2.2040047640601865
sumo2_k21lisok_ube2w_ub_product,seed-4_sample-3,1.0069533256313326,22,,,,,0.45,0.63,0.52,76.0,1.4074899644402443
sumo2_k21lisok_ube2w_ub_product,seed-4_sample-4,1.1488154769152437,22,,,,,0.42,0.61,0.47,76.0,2.234334352777131
sumo2_k21lisok_ube2w_ub_product,seed-5_sample-0,1.0300543674971725,22,,,,,0.46,0.63,0.53,76.0,1.0698093288058392
sumo2_k21lisok_ube2w_ub_product,seed-5_sample-1,1.0739329588014332,22,,,,,0.41,0.6,0.48,76.0,1.723917921480022
sumo2_k21lisok_ube2w_ub_product,seed-5_sample-2,0.9871261317582468,22,,,,,0.44,0.62,0.51,76.0,1.827640281893568
sumo2_k21lisok_ube2w_ub_product,seed-5_sample-3,1.0714914838672305,22,,,,,0.42,0.6,0.49,76.0,1.615357236031708
sumo2_k21lisok_ube2w_ub_product,seed-5_sample-4,1.036172282972286,22,,,,,0.43,0.61,0.49,76.0,1.6514517855511253
