job,n,nz_c01_mean,nz_c01_min,bonded_lysine,thio_cs_mean,planarity_mean,n01_thioC_mean,n01_thioC_min,oxt_retained,iptm_mean,ptm_mean,n01_ubC_mean,n01_ubC_min
sumo2_k11lisok_ube2w_ub_charged,25,1.004251242891937,0.8609727057230098,12,1.7229248282917007,328.38731018439626,2.1177151723244485,1.814159033822559,25.0,0.6332,0.7419999999999999,,
sumo2_k11lisok_ube2w_ub_product,25,0.930374287730846,0.8221587437958683,12,,,,,,0.5988,0.7236,1.2891060947430881,0.699778536395623
sumo2_k21lisok_ube2w_ub_charged,25,1.0642995409502554,0.8954027026986237,22,1.727563170185194,331.8189733332878,29.8426331777371,5.835238298475907,25.0,0.5144,0.6492,,
sumo2_k21lisok_ube2w_ub_product,25,1.0509868398024431,0.9133372870960652,22,,,,,,0.44400000000000006,0.6215999999999999,1.5890741885724506,0.8915699636035301
